City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temp,Wind Speed
492,vanavara,94,RU,1580519194,99,60.34,102.28,-24.02,1.68
493,yaan,58,NG,1580519194,15,7.38,8.57,75.25,6.17
494,san patricio,75,MX,1580519194,78,19.22,-104.7,78.8,9.17
495,ayacucho,85,PE,1580519194,91,-13.16,-74.22,46.26,7.23
496,olafsvik,100,IS,1580519194,77,64.89,-23.71,29.89,20.38
497,tuy hoa,28,VN,1580519194,73,13.08,109.3,72.45,15.68
498,cabo san lucas,90,MX,1580519195,49,22.89,-109.91,68.67,6.93
499,saint anthony,1,US,1580519195,96,45.02,-93.22,31.17,3.36
500,belyy yar,75,RU,1580519195,75,53.6,91.39,-14.8,0.85
501,sabang,96,ID,1580519195,75,5.89,95.32,81.64,15.95
502,sarahan,100,IN,1580519195,85,31.52,77.8,5.38,11.59
503,kisangani,98,CD,1580519195,74,0.52,25.2,73.99,1.88
504,la palma,1,US,1580519196,16,33.85,-118.05,72.59,4.7
505,vila do maio,0,CV,1580519196,41,15.13,-23.22,77.0,17.22
506,srandakan,100,ID,1580519196,88,-7.94,110.25,76.39,5.61
507,la esperanza,20,GT,1580519196,62,14.87,-91.57,67.82,6.93
508,north platte,1,US,1580519196,47,41.12,-100.77,37.74,5.82
509,nagato,40,JP,1580519196,80,34.38,131.2,42.66,2.24
510,belmonte,20,BR,1580519196,78,-15.86,-38.88,78.8,4.7
511,port blair,100,IN,1580519196,75,11.67,92.75,79.18,12.33
512,malartic,75,CA,1580519197,92,48.13,-78.13,20.43,9.17
513,mackay,23,AU,1580519197,74,-21.15,149.2,85.01,9.17
514,sungurlu,58,TR,1580519197,86,40.17,34.37,22.82,6.51
515,puerto gaitan,51,CO,1580519082,46,4.31,-72.08,87.42,7.25
516,jeremie,18,HT,1580519197,90,18.65,-74.12,68.58,1.36
517,xiangfan,100,CN,1580519105,64,32.04,112.14,44.56,3.98
518,belem de sao francisco,98,BR,1580519198,57,-8.75,-38.97,82.6,11.48
519,fare,100,PF,1580519198,84,-16.7,-151.02,78.4,28.27
520,lerwick,98,GB,1580519198,93,60.15,-1.15,42.82,21.92
521,khani,100,GE,1580519198,93,41.96,42.96,39.2,5.82
522,akyab,0,MM,1580519198,71,20.15,92.9,64.17,7.23
523,luba,20,GQ,1580519198,88,3.46,8.55,77.0,5.82
524,lannion,90,FR,1580519199,93,48.75,-3.42,51.73,8.05
525,nirgua,76,VE,1580519199,89,10.16,-68.57,70.5,3.94
526,karasjok,100,NO,1580519199,78,69.47,25.51,15.8,54.13
527,morki,99,RU,1580519199,95,56.43,48.99,27.14,9.13
